#,ZONA,ORDEN,NUM. ESC.,DEPARTAMENTO,CURSO,DIVISION,TURNO,HORAS,MA,MATERIA,DESI/ORI,BI
187,0,239421,4-226,LAS HERAS,4,2,T,3,147,TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓ SC,R2383/15,PLAN 01
188,0.7,247583,4-228,MALARGÜE,3,1,A,4,24,TECNOLOGÍA DE LA INFORMACIÓN Y LA COMUNICACIÓN,R1484/89,CORC 15
189,0.7,242800,4-231,LAVALLE,4,1,M,3,147,TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓ SC,R0014/18,RENU 10
190,0.7,242834,4-231,LAVALLE,4,2,M,3,147,TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓ SC,R0596/15,PLAN 01
191,0.4,181521,4-233,LAVALLE,0,0,M,0,20,M.E.P. (INFORMÁTICA),R1484/89,TRAS 01
192,0.4,238743,4-233,LAVALLE,4,1,M,3,188,EDUCACIÓN Y TIC (TIC),R1484/89,TRAS 01
193,0.7,240553,4-234,SAN CARLOS,4,1,T,3,285,CIENCIAS Y TIC (TIC),R2208/18,RENU 14
194,0.7,240442,4-238,CAPITAL,4,1,M,3,147,TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓ SC,R2383/15,PLAN 01
195,0.8,239682,4-240,MAIPU,4,1,T,3,278,CIENCIAS NATURALES Y TIC (TIC),R1484/89,COTC 15
196,0.7,243124,4-249,JUNIN,4,1,M,3,147,TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓ SC,R1484/89,CORC 15
197,0.7,241544,4-250,LAS HERAS,4,1,T,3,368,CIENCIAS SOCIALES Y TIC (TIC),R2383/15,PLAN 01
198,1,241228,4-258,LAVALLE,4,1,A,3,188,EDUCACIÓN Y TIC (TIC),R1484/89,CORA 15
199,0.7,262807,4-262,MAIPU,4,1,M,3,147,TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓ SC,R1484/89,CORC 15
200,0.7,283791,4-262,MAIPU,4,2,M,3,147,TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓ SC,R1484/89,CORC 15
201,0,239268,9-002,CAPITAL,4,1,M,3,188,EDUCACIÓN Y TIC (TIC),R1484/89,TRAS 01
202,0,239310,9-002,CAPITAL,4,2,M,3,147,TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓ SC,R0736/17,RENU 01
203,0,239375,9-002,CAPITAL,4,5,T,3,188,EDUCACIÓN Y TIC (TIC),R2383/15,PLAN 01
204,0,239449,9-002,CAPITAL,4,7,T,3,147,TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓ SC,R2208/18,RENU 26
205,0,242570,9-003,SAN RAFAEL,4,3,M,3,278,CIENCIAS NATURALES Y TIC (TIC),R1484/89,COTA 15
206,0,242582,9-003,SAN RAFAEL,4,4,M,3,278,CIENCIAS NATURALES Y TIC (TIC),R1484/89,COTA 15
207,0,242594,9-003,SAN RAFAEL,4,5,M,3,278,CIENCIAS NATURALES Y TIC (TIC),R1484/89,COTA 15
208,0.3,71832,9-004,TUNUYAN,0,0,M,0,20,M.E.P. (INFORMÁTICA),R2208/18,RENU 15
209,0.3,241077,9-004,TUNUYAN,4,3,M,3,368,CIENCIAS SOCIALES Y TIC (TIC),R1484/89,TRAS 01
210,0.3,241089,9-004,TUNUYAN,4,4,M,3,368,CIENCIAS SOCIALES Y TIC (TIC),R1484/89,COTC 15
